"day","num_videos","avg_duration","se_duration","med_duration"
"2005-09-06",163,80.2699386503067485,7.99524143367784,41
"2005-09-07",157,111.4203821656050955,16.474600802881,43
"2005-09-08",131,89.2442748091603053,10.330180808565,38
"2005-09-09",116,111.3362068965517241,14.4902952787786,49.5
"2005-09-10",139,123.2733812949640288,15.683219788605,53
"2005-09-11",179,98.9329608938547486,8.57125567306385,55
"2005-09-12",134,110.2910447761194030,12.1974130563992,46.5
"2005-09-13",110,113.6454545454545455,12.7657053763356,54
"2005-09-14",149,155.4630872483221477,19.1593850503108,66
"2005-09-15",165,139.2242424242424242,21.0037450493639,56
"2005-09-16",171,130.5906432748538012,11.802839887619,72
"2005-09-17",168,116.1250000000000000,10.189263246553,61
"2005-09-18",163,113.0490797546012270,13.0323759874973,56
"2005-09-19",235,136.7489361702127660,11.8165634897962,70
